"","gains_losses","value","flux","case"
"208","north_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"209","west_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"210","east_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"211","none_roof_swlights_gain",11352.5822768654,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"212","none_floor_swlights_gain",11352.5822768654,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"213","none_intwalls_swlights_gain",13191.6830168069,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"214","south_extwalls_swlights_gain",4512.65754759836,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"215","north_extwalls_swlights_gain",1916.34360676281,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"216","west_extwalls_swlights_gain",6365.53273566987,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"217","east_extwalls_swlights_gain",1624.43126370013,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"218","none_roof_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"219","none_floor_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"220","none_intwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"221","south_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"222","north_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"223","west_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"224","east_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_hi_in1_1.csv"
"225","none_roof_lwinternal_gain",84330.8100721839,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"226","none_floor_lwinternal_gain",84330.8100721839,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"227","none_intwalls_lwinternal_gain",97992.2706475168,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"228","south_extwalls_lwinternal_gain",28897.8812596272,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"229","north_extwalls_lwinternal_gain",13183.6990630193,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"230","west_extwalls_lwinternal_gain",40763.2104163445,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"231","east_extwalls_lwinternal_gain",11314.3685988599,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"232","none_roof_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"233","none_floor_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"234","none_intwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"235","south_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"236","north_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"237","west_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"238","east_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_hi_in1_1.csv"
"239","none_roof_lwsurfaces_gain",153366.313515728,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"240","none_floor_lwsurfaces_gain",900571.335380501,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"241","none_intwalls_lwsurfaces_gain",291723.375745651,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"242","south_extwalls_lwsurfaces_gain",437220.446915376,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"243","north_extwalls_lwsurfaces_gain",126307.473976132,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"244","west_extwalls_lwsurfaces_gain",411342.187412173,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"245","east_extwalls_lwsurfaces_gain",109820.163227331,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"246","none_roof_lwsurfaces_loss",-1080926.01264923,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"247","none_floor_lwsurfaces_loss",-610637.168194052,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"248","none_intwalls_lwsurfaces_loss",-563682.720847508,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"249","south_extwalls_lwsurfaces_loss",-9338.49104470482,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
