"","gains_losses","value","case","city","app","case_graph","gains","exchange","per"
"140","none_intwalls_convection_gain",301822.465850429,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","intwalls",0.2061
"141","north_extwalls_convection_gain",92594.3831991207,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","north_extwalls",0.0632
"142","west_extwalls_convection_gain",25966.1975051676,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","west_extwalls",0.0177
"143","east_extwalls_convection_gain",166901.50525678,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","east_extwalls",0.114
"144","east_windows_convection_gain",1251.2254031064,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","east_windows",9e-04
"145","none_roof_convection_loss",-1627.42380824003,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","loss","roof",0.0011
"146","none_floor_convection_loss",-16563.8881602868,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","loss","floor",0.0113
"147","none_intwalls_convection_loss",-24381.2183915714,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","loss","intwalls",0.0166
"148","north_extwalls_convection_loss",-26371.3101223641,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","loss","north_extwalls",0.018
"149","west_extwalls_convection_loss",-9354.36612388194,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","loss","west_extwalls",0.0064
"150","east_extwalls_convection_loss",-1523.63231745649,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","loss","east_extwalls",0.001
"151","east_windows_convection_loss",-48256.3297353394,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","loss","east_windows",0.0329
"152","internal_gains",237261.283507044,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","internal_gains",0.162
"153","vn_window_loss",-1018502.99769943,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","loss","vn_window",0.6937
"154","vn_window_gain",0,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","vn_window",0
"155","vn_interzone_loss",-321646.134000668,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","loss","vn_interzone",0.2191
"156","vn_interzone_gain",242187.104184786,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","vn_interzone",0.1654
"157","none_roof_convection_gain",1270394.59566925,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","roof",0.1585
"158","none_floor_convection_gain",1623890.94707454,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","floor",0.2026
"159","none_intwalls_convection_gain",1663311.50839015,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","intwalls",0.2075
"160","south_extwalls_convection_gain",555633.030563673,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","south_extwalls",0.0693
"161","north_extwalls_convection_gain",231637.898236989,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","north_extwalls",0.0289
"162","west_extwalls_convection_gain",968756.286243437,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","west_extwalls",0.1208
"163","east_extwalls_convection_gain",229166.135044714,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","east_extwalls",0.0286
"164","south_windows_convection_gain",83015.1547218188,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","south_windows",0.0104
"165","west_windows_convection_gain",75209.0921691125,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","west_windows",0.0094
"166","none_roof_convection_loss",-3857.14318990072,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","roof",5e-04
"167","none_floor_convection_loss",-20426.7761666431,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","floor",0.0026
"168","none_intwalls_convection_loss",-65287.8223670857,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","intwalls",0.0082
"169","south_extwalls_convection_loss",-48643.8364349515,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","south_extwalls",0.0061
"170","north_extwalls_convection_loss",-20388.817421448,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","north_extwalls",0.0025
"171","west_extwalls_convection_loss",-65993.866792934,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","west_extwalls",0.0083
"172","east_extwalls_convection_loss",-11448.9747717709,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","east_extwalls",0.0014
"173","south_windows_convection_loss",-42252.0196445993,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","south_windows",0.0053
"174","west_windows_convection_loss",-36591.2519360905,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","west_windows",0.0046
"175","internal_gains",793189.398110547,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","internal_gains",0.0989
"176","cooling",-7506075.78054602,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","cooling",0.9385
"177","heating",0,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","heating",0
"178","vn_window_loss",-53975.9314648313,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","vn_window",0.0067
"179","vn_window_gain",119476.094071687,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","vn_window",0.0149
"180","vn_interzone_loss",-122751.254017916,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","loss","vn_interzone",0.0153
"181","vn_interzone_gain",403391.772766906,"U001_Caso01_1a7_ac_in1_1.csv","belem","SALA","Air Conditioner","gain","vn_interzone",0.0503
"182","none_roof_convection_gain",1280957.4304838,"U001_Caso01_1a7_ac_nbr_1.csv","belem","SALA","Air Conditioner","gain","roof",0.1623
"183","none_floor_convection_gain",1629808.5355499,"U001_Caso01_1a7_ac_nbr_1.csv","belem","SALA","Air Conditioner","gain","floor",0.2064
"184","none_intwalls_convection_gain",1663127.87252705,"U001_Caso01_1a7_ac_nbr_1.csv","belem","SALA","Air Conditioner","gain","intwalls",0.2107
"185","south_extwalls_convection_gain",556610.439605865,"U001_Caso01_1a7_ac_nbr_1.csv","belem","SALA","Air Conditioner","gain","south_extwalls",0.0705
