"","month","gains_losses","value","case","city","app","case_graph","gains","exchange","MonthAbb","per"
"157",2,"vn_interzone_loss",-9278.0057402754,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","vn_interzone","Feb",0.0441
"158",2,"vn_interzone_gain",4049.42493247773,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","vn_interzone","Feb",0.0192
"159",3,"internal_gains",32527.9168898308,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","internal_gains","Mar",0.1617
"160",3,"cooling",-181368.414238288,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","cooling","Mar",0.9059
"161",3,"heating",0,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","heating","Mar",0
"162",3,"vn_window_loss",-12.6821604075874,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","vn_window","Mar",1e-04
"163",3,"vn_window_gain",150.212120471571,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","vn_window","Mar",7e-04
"164",3,"vn_interzone_loss",-7991.26494368356,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","vn_interzone","Mar",0.0399
"165",3,"vn_interzone_gain",3991.74375689465,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","vn_interzone","Mar",0.0198
"166",4,"internal_gains",31473.0079131326,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","internal_gains","Apr",0.1523
"167",4,"cooling",-186921.22854259,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","cooling","Apr",0.9091
